,github_user_cleaned_url,archived,created_at,has_wiki,has_pages,license,readme_size,readme_path,readme_emojis,contributing_size,citation_added,contributing_added,repo_created_at,week_since_repo_creation_citation_added,week_since_repo_creation_contributing_added,license_type,readme_size_class,forks_count,stars_count,max_active_contributors
23,agentsoz/bdi-abm-integration,False,2016-01-25 01:23:50+00:00,True,False,lgpl-3.0,6373.0,README.md,0.0,0.0,,,2016-01-25 01:23:50+00:00,,,non-permissive,informative,8,10,4.0
24,WavEC-Offshore-Renewables/tokyo-wavec-fowt,False,2020-08-10 09:28:41+00:00,True,False,mit,147.0,README.md,0.0,0.0,,,2020-08-10 09:28:41+00:00,,,permissive,ultra-short,1,5,1.0
25,nilmtk/nilmtk,False,2013-12-03 11:39:12+00:00,True,False,apache-2.0,5444.0,README.md,1.0,0.0,,,2013-12-03 11:39:12+00:00,,,permissive,informative,433,736,6.0
26,TGMclustering/TGMclustering,False,2021-11-05 15:15:52+00:00,True,False,other,6796.0,README.md,0.0,0.0,,,2021-11-05 15:15:52+00:00,,,unknown,informative,0,0,1.0
27,PRiME-project/PRiME-Framework,False,2018-06-06 12:42:24+00:00,True,False,other,2099.0,README.md,0.0,0.0,,,2018-06-06 12:42:24+00:00,,,unknown,informative,2,2,1.0
28,fchirono/amiet_tools,False,2020-03-05 01:16:03+00:00,True,False,bsd-3-clause,4039.0,README.md,0.0,0.0,,,2020-03-05 01:16:03+00:00,,,permissive,informative,8,12,1.0
29,stain/profilechecker,False,2012-03-05 15:30:15+00:00,True,False,apache-2.0,4885.0,README.md,0.0,0.0,,,2012-03-05 15:30:15+00:00,,,permissive,informative,2,13,1.0
30,JAEarly/MILLI,False,2022-01-27 15:39:49+00:00,True,False,None,2080.0,README.md,0.0,0.0,,,2022-01-27 15:39:49+00:00,,,None,informative,1,10,1.0
31,esbmc/esbmc,False,2015-06-20 19:35:34+00:00,True,True,other,13239.0,README.md,0.0,0.0,2022-12-06 14:46:10+00:00,,2015-06-20 19:35:34+00:00,389.0,,unknown,detailed,75,182,11.0
32,intelaligent/tctb,False,2017-03-06 18:19:55+00:00,True,True,gpl-3.0,3310.0,README.md,0.0,0.0,,,2017-03-06 18:19:55+00:00,,,permissive,informative,8,24,3.0
