title,date,author_for_reference,pdf_url
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/3/74914174_2463165930398900_7615268416454131712_o.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/4/75429637_2463166477065512_2546298806274621440_o.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/5/76705222_2463166357065524_1233941308117090304_o.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/6/76773171_2463166530398840_5112324126756831232_o.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/8/lightbox.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/9/preview.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/10/medium.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/11/small.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/12/lightbox.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/13/preview.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/14/medium.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/15/small.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/16/lightbox.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/17/preview.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/18/medium.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/19/small.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/20/lightbox.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/21/preview.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/22/medium.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/23/small.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/24/lightbox.jpg
HERE,2019-11-08,Lottie Davies,https://repository.falmouth.ac.uk/3800/25/preview.jpg
